PairIndex,Drug1,Drug2,Conc1,Conc2,Response,ConcUnit
2,Dinaciclib,Ipatasertib,0,10,1.2947501104276,nM
2,Dinaciclib,Ipatasertib,0,30,5.88422878443456,nM
2,Dinaciclib,Ipatasertib,0,100,10.3224485838334,nM
2,Dinaciclib,Ipatasertib,0,300,21.0553646265393,nM
2,Dinaciclib,Ipatasertib,0,1000,32.863899333125,nM
2,Dinaciclib,Ipatasertib,0,3000,40.8431281714267,nM
2,Dinaciclib,Ipatasertib,0,10000,43.2981760592969,nM
3,NVP-LGK974,Alpelisib,0,10000,66.157693947881,nM
3,NVP-LGK974,Alpelisib,0,3000,51.0973571683782,nM
3,NVP-LGK974,Alpelisib,0,1000,35.8516879314915,nM
3,NVP-LGK974,Alpelisib,0,300,18.3792630499176,nM
3,NVP-LGK974,Alpelisib,0,100,14.4181275428466,nM
3,NVP-LGK974,Alpelisib,0,30,6.04082385348594,nM
3,NVP-LGK974,Alpelisib,0,10,-2.22859974874082,nM
3,NVP-LGK974,Alpelisib,0,0,-0.409852125906198,nM
3,NVP-LGK974,Alpelisib,10,10000,72.3621820361214,nM
3,NVP-LGK974,Alpelisib,10,3000,58.7347141062435,nM
3,NVP-LGK974,Alpelisib,10,1000,42.2857669744015,nM
3,NVP-LGK974,Alpelisib,10,300,31.3290227401081,nM
3,NVP-LGK974,Alpelisib,10,100,21.0264744188191,nM
3,NVP-LGK974,Alpelisib,10,30,7.12100780286528,nM
3,NVP-LGK974,Alpelisib,10,10,7.19431093899474,nM
3,NVP-LGK974,Alpelisib,10,0,1.24430921014719,nM
3,NVP-LGK974,Alpelisib,30,10000,72.9555225153579,nM
3,NVP-LGK974,Alpelisib,30,3000,61.8452566186047,nM
3,NVP-LGK974,Alpelisib,30,1000,48.1998086742044,nM
3,NVP-LGK974,Alpelisib,30,300,39.1904383204822,nM
3,NVP-LGK974,Alpelisib,30,100,23.8769982596268,nM
3,NVP-LGK974,Alpelisib,30,30,17.2091790279267,nM
3,NVP-LGK974,Alpelisib,30,10,7.49582195175363,nM
3,NVP-LGK974,Alpelisib,30,0,7.6133835851688,nM
3,NVP-LGK974,Alpelisib,100,10000,72.1146110669295,nM
3,NVP-LGK974,Alpelisib,100,3000,63.7414566116893,nM
3,NVP-LGK974,Alpelisib,100,1000,47.6133835851688,nM
3,NVP-LGK974,Alpelisib,100,300,34.8406578841211,nM
3,NVP-LGK974,Alpelisib,100,100,24.4731048949437,nM
3,NVP-LGK974,Alpelisib,100,30,15.2770190057974,nM
3,NVP-LGK974,Alpelisib,100,10,14.5813307515877,nM
3,NVP-LGK974,Alpelisib,100,0,8.96326775238293,nM
3,NVP-LGK974,Alpelisib,300,10000,75.273561310697,nM
3,NVP-LGK974,Alpelisib,300,3000,62.8217097149707,nM
3,NVP-LGK974,Alpelisib,300,1000,51.2937542500836,nM
3,NVP-LGK974,Alpelisib,300,300,41.8791420305891,nM
3,NVP-LGK974,Alpelisib,300,100,28.7454329610548,nM
3,NVP-LGK974,Alpelisib,300,30,18.6296001751899,nM
3,NVP-LGK974,Alpelisib,300,10,16.3336906284937,nM
3,NVP-LGK974,Alpelisib,300,0,12.7169415534272,nM
3,NVP-LGK974,Alpelisib,1000,10000,73.3331028203266,nM
3,NVP-LGK974,Alpelisib,1000,3000,64.6003480746401,nM
3,NVP-LGK974,Alpelisib,1000,1000,49.5469266853382,nM
3,NVP-LGK974,Alpelisib,1000,300,41.079722923366,nM
3,NVP-LGK974,Alpelisib,1000,100,29.0552424420548,nM
3,NVP-LGK974,Alpelisib,1000,30,23.5962334174706,nM
3,NVP-LGK974,Alpelisib,1000,10,16.033562693775,nM
3,NVP-LGK974,Alpelisib,1000,0,19.0279266507613,nM
3,NVP-LGK974,Alpelisib,3000,10000,73.9222940654427,nM
3,NVP-LGK974,Alpelisib,3000,3000,60.2726968869219,nM
3,NVP-LGK974,Alpelisib,3000,1000,53.1664419164851,nM
